symbol,name,market_cap,price,volume_24h,price_chg_24h,oi_usd,oi_mc_ratio,funding_rate
SPX,SPX6900,439837508,0.472442,15868149,-10.90119,0.0,0.0,5e-05
SWARMS,Swarms,6875387,0.00687549,1601253,-6.26821,0.0,0.0,5e-05
TAG,TAGGER,72361806,0.00066469,1517178,-8.51155,0.0,0.0,5e-05
TAIKO,Taiko,15948888,0.077895,1429525,-4.17679,0.0,0.0,5e-05
TRIA,TRIA,7686281,0.00356231,3964724,-14.60995,0.0,0.0,5e-05
TRUTH,Swarm Network,29108830,0.01395903,3174779,9.31683,0.0,0.0,5e-05
UAI,UnifAI Network,170766769,0.714505,15005659,-2.44306,0.0,0.0,7.927e-05
UB,Unibase,312770718,0.125108,9993857,2.42464,0.0,0.0,5e-05
USELESS,Useless Coin,222472662,0.222486,119861481,-24.5882,0.0,0.0,9.207e-05
VELVET,Velvet,27435633,0.059152,5862796,-22.97766,0.0,0.0,-5.018e-05
VVV,Venice Token,1133031188,23.65,202383145,-7.04461,0.0,0.0,5e-05
XAN,Anoma,26910982,0.01076439,8006388,-7.82111,0.0,0.0,4.998e-05
XMR,Monero,9656575367,513.58,146439909,2.75404,0.0,0.0,0.0001
XPIN,XPIN Network,38896692,0.00093439,1790175,-6.47196,0.0,0.0,5e-05
ZEREBRO,Zerebro,36272017,0.0362739,4052743,-2.89933,0.0,0.0,5e-05
ZEST,Zest Protocol,17960974,0.12302,2290246,0.17964,0.0,0.0,5e-05
ZETA,ZetaChain,53636795,0.03337524,8919107,-3.51051,0.0,0.0,5e-05
ZORA,Zora,36017023,0.0080575,18881840,-8.18452,0.0,0.0,-7.895e-05
哈基米,哈基米 (Hajimi),33681259,0.03368126,7728784,-17.60481,0.0,0.0,0.00038588
我踏马来了,我踏马来了,10895321,0.01089532,597765,-11.40666,0.0,0.0,0.00016809
龙虾,龙虾 (Lobster),44850693,0.04485069,8198592,-20.69207,0.0,0.0,5e-05
